,S.No,date,startup name,Industry Vertical,SubVertical,City  Location,InvestmentnType,Rupees in crore,Investor Name,investor_cleaned,year,month
1237,1237,2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,Private Equity,150.72,js capital management,js capital,2017,August
1238,1238,2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,Private Equity,150.72,social capital,socialcapital,2017,August
1239,1239,2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,Private Equity,150.72,horizons ventures,sb ventures,2017,August
1240,1240,2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,Seed Funding,7.065,vamm ventures,sutter hill ventures,2017,August
1241,1241,2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,Seed Funding,7.065,raksul,raksul,2017,August
1242,1242,2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,Seed Funding,7.065,dena,dena co,2017,August
1243,1243,2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,Seed Funding,1.1775,pbs srinivas,pbs srinivas,2017,August
1244,1244,2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,Seed Funding,1.1775,vinod martin,vinod martin,2017,August
1245,1245,2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,Private Equity,65.94,sistema asia fund,vertex ventures southeast asia sea  india  sistema asia fund,2017,August
1246,1246,2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,Private Equity,65.94,c31 ventures,rainforest ventures,2017,August
1247,1247,2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,Private Equity,65.94,qualgro,qualgro,2017,August
1248,1248,2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,Private Equity,235.5,accel,accel,2017,August
1249,1249,2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,Private Equity,235.5,idg ventures,idg venture,2017,August
1250,1250,2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,Private Equity,235.5,kalaari capital,romulus capital  kalaari capital,2017,August
1251,1251,2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,Private Equity,235.5,xc2xa0 ucrnt fund,ucrnt fund,2017,August
1252,1252,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,Seed Funding,7.065,idal health,cmyk health boutique pvt ltd,2017,August
1253,1253,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,Seed Funding,7.065,growx ventures,growx,2017,August
1254,1254,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,Seed Funding,7.065,capier investments,burda principal investments,2017,August
1255,1255,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,Seed Funding,7.065,globevestor,globeinvestor,2017,August
1256,1256,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,Seed Funding,7.065,others,other,2017,August
1257,1257,2017-08-29,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Debt Funding,0.0,small industries development bank of india sidbi,mall industries development bank of india sidbi,2017,August
1258,1258,2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,Private Equity,320.28,ward ferry management  karst peak capital,sequoia capital,2017,August
1259,1259,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Private Equity,282.6,sequoia capital,quona capital,2017,August
1260,1260,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Private Equity,282.6,sofina sa,sofina,2017,August
1261,1261,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Private Equity,282.6,zodius capital,trifecta capital advisors,2017,August
1262,1262,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Private Equity,282.6,kris gopalakrishnan,kris gopalkrishnan,2017,August
1263,1263,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,Private Equity,282.6,lakshmi narayanan,lakshmi narayanan,2017,August
1264,1264,2017-07-01,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Seed Funding,9.42,indian angel network,india quotient  letsventures angel fund,2017,July
1265,1265,2017-07-03,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,Private Equity,24.492,infuse ventures,infuse ventures fund,2017,July
1266,1266,2017-07-03,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,Private Equity,24.492,jll,jll,2017,July
1267,1267,2017-07-04,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,Private Equity,188.4,asset management asia ltd,supera pte ltd,2017,July
1268,1268,2017-07-04,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,Private Equity,188.4,digital garage inc,digital garage,2017,July
1269,1269,2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,Private Equity,80.07,kalaari capital,romulus capital  kalaari capital,2017,July
1270,1270,2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,Private Equity,80.07,nexus venture partners,norwest venture partners,2017,July
1271,1271,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Private Equity,113.04,international finance corporation,ss capital  international finance corporation,2017,July
1272,1272,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Private Equity,113.04,rocketship,rocketship,2017,July
1273,1273,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Private Equity,113.04,accel,accel,2017,July
1274,1274,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Private Equity,113.04,jungle ventures,lakestar  jungle ventures,2017,July
1275,1275,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Private Equity,113.04,shailesh rao,il,2017,July
1276,1276,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,Private Equity,113.04,venture highway,y combinator  venture highway,2017,July
1277,1277,2017-07-05,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,Private Equity,9.42,bccl,coleman  company ltd bccl,2017,July
1278,1278,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,blume ventures,blume ventures  rtp global,2017,July
1279,1279,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,indian angel network,india quotient  letsventures angel fund,2017,July
1280,1280,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,emergent ventures india,emergent ventures,2017,July
1281,1281,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,pallav nadhani,mohas pai pallav nadhani,2017,July
1282,1282,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,ashish gupta,sunil goyal ashish gupta,2017,July
1283,1283,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,sharad sharma,vijay shekhar sharma,2017,July
1284,1284,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,Seed Funding,0.0,sirion labs,pine labs pte ltd,2017,July
1285,1285,2017-07-06,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,Seed Funding,0.0,undisclosed,undisclosed,2017,July
1286,1286,2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,Seed Funding,9.42,india quotient,india quotient  letsventures angel fund,2017,July
1287,1287,2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,Seed Funding,9.42,shunwei capital,omidyar network  shunwei capital,2017,July
1288,1288,2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,Seed Funding,0.0,sreeram iyer,sreeram iyer,2017,July
1289,1289,2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,Seed Funding,0.0,suvo sarkar,suvo sarkar,2017,July
1290,1290,2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,Seed Funding,0.0,anita gupta,ankit gupta,2017,July
1291,1291,2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,Seed Funding,0.0,likemind ventures,sd ventures,2017,July
1292,1292,2017-07-10,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Private Equity,28.26,mitsui,m,2017,July
1293,1293,2017-07-10,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Private Equity,28.26,co,falcon edge,2017,July
1294,1294,2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Private Equity,21.195,dunamis ventures pte ltd,axilor ventures,2017,July
1295,1295,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Seed Funding,4.37088,venture catalysts,venture catalyst,2017,July
1296,1296,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Seed Funding,4.37088,sourav ganguly,sourav ganguly,2017,July
1297,1297,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Seed Funding,4.37088,ankit aditya,gaurav suri  ankit kesarwani,2017,July
1298,1298,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,Seed Funding,4.37088,moksh sports ventures,sb ventures,2017,July
1299,1299,2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,Seed Funding,0.0,fireside ventures,healthquad  fireside ventures,2017,July
1300,1300,2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,Seed Funding,0.0,apurva salarpuria,apurva salapuria,2017,July
1301,1301,2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,Seed Funding,0.0,sidharth pansari,sidharth pansari,2017,July
1302,1302,2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,Seed Funding,0.0,sprout capital,sprout venture partners,2017,July
1303,1303,2017-07-12,Innoviti,Technology,Digital payments solutions,Bangalore,Private Equity,174.27,sbifmo fund,ping an global voyager fund,2017,July
1304,1304,2017-07-12,Innoviti,Technology,Digital payments solutions,Bangalore,Private Equity,174.27,bessemer venture partners,bessemer venture partner,2017,July
1305,1305,2017-07-12,Innoviti,Technology,Digital payments solutions,Bangalore,Private Equity,174.27,catamaran ventures,cataraman ventures,2017,July
1306,1306,2017-07-12,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,Private Equity,0.0,corvus ventures,co,2017,July
1307,1307,2017-07-12,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,Private Equity,0.0,mape advisory group,mape advisory,2017,July
1308,1308,2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bangalore,Seed Funding,0.0,500 startups,500 startups,2017,July
1309,1309,2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bangalore,Seed Funding,0.0,purvi capital,trifecta capital advisors,2017,July
1310,1310,2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bangalore,Seed Funding,0.0,rajan anan,rajan anan from google,2017,July
1311,1311,2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bangalore,Seed Funding,0.0,abhishek gupta,prashant gupta  others,2017,July
1312,1312,2017-07-12,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Seed Funding,0.0,indian angel network,india quotient  letsventures angel fund,2017,July
1313,1313,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Seed Funding,5.0868,brigade innovations llp,man capital llp,2017,July
1314,1314,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Seed Funding,5.0868,tv mohas pai,t v mohas pai,2017,July
1315,1315,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Seed Funding,5.0868,suhail rahman,il,2017,July
1316,1316,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Seed Funding,5.0868,bobby reddy,amrendra reddy  manish satnaliwala,2017,July
1317,1317,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,Seed Funding,5.0868,m george oommen,vivek khare  bijoy george,2017,July
1318,1318,2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Private Equity,16.014,blacksoil capital pvt ltd,blacksoil,2017,July
1319,1319,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Seed Funding,18.84,sequoia capital,quona capital,2017,July
1320,1320,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Seed Funding,18.84,grey orange,grey orange robotics,2017,July
1321,1321,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Seed Funding,18.84,rajesh ramaiah,rajesh yohanan  rahul garg,2017,July
1322,1322,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Seed Funding,18.84,anshuman das,das capital  it farm,2017,July
1323,1323,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,Seed Funding,18.84,rishi das,das capital  it farm,2017,July
1324,1324,2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,Private Equity,37.68,idg ventures india advisors,idg ventures,2017,July
1325,1325,2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,Private Equity,37.68,jungle ventures,lakestar  jungle ventures,2017,July
1326,1326,2017-07-18,MObiquest,Technology,Mobile Services & Solutions,Noida,Private Equity,0.0,one97 communication ltd,one97 communications ltd,2017,July
1327,1327,2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,Seed Funding,0.0,uber technologies inc,inc,2017,July
1328,1328,2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,Seed Funding,0.0,amaya capital llp,man capital llp,2017,July
1329,1329,2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Seed Funding,0.0,xelpmoc,m,2017,July
1330,1330,2017-07-18,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Seed Funding,0.0,kae capital,vc firms india quotient  kae capital,2017,July
1331,1331,2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,Private Equity,94.2,ain capital ventures,grace capital ventures,2017,July
1332,1332,2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,Private Equity,94.2,renaud laplanche,renaud laplanche,2017,July
1333,1333,2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Seed Funding,0.0,francesco cara,co,2017,July
1334,1334,2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,Seed Funding,5.652,abishowatech india ltd,bennett coleman  company ltd bccl,2017,July
1335,1335,2017-07-20,Trupay,Technology,Online payments platform,Gurgaon,Seed Funding,6.594,kae capital,vc firms india quotient  kae capital,2017,July
1336,1336,2017-07-20,Trupay,Technology,Online payments platform,Gurgaon,Seed Funding,6.594,m,paytm,2017,July
1337,1337,2017-07-20,Trupay,Technology,Online payments platform,Gurgaon,Seed Funding,6.594,s partners,insignia ventures partners,2017,July
1338,1338,2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,Seed Funding,1.884,subramani somasundaram,subramani somasundaram,2017,July
1339,1339,2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,Seed Funding,1.884,sundeep sahni,sundeep singh sahni,2017,July
1340,1340,2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,Seed Funding,1.884,mayank mittal,ajay relan  vinay mittal,2017,July
1341,1341,2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,Seed Funding,1.884,others,other,2017,July
1342,1342,2017-07-21,FableStreet,eCommerce,Women Work wear etailer,New Delhi,Seed Funding,0.0,harmeet bajaj,harmeet bajaj,2017,July
1343,1343,2017-07-21,FableStreet,eCommerce,Women Work wear etailer,New Delhi,Seed Funding,0.0,pameela p,the uks development finance institution  p surendra pai,2017,July
1344,1344,2017-07-21,FableStreet,eCommerce,Women Work wear etailer,New Delhi,Seed Funding,0.0,fusiontech ventures,fusion tech ventures,2017,July
1345,1345,2017-07-21,FableStreet,eCommerce,Women Work wear etailer,New Delhi,Seed Funding,0.0,others,other,2017,July
1346,1346,2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,Seed Funding,0.0,sunil kalra,il,2017,July
1347,1347,2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,Seed Funding,0.0,aditya singh,imanpreet singh arora,2017,July
1348,1348,2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,Seed Funding,0.0,rishi srivastava,rishi das,2017,July
1349,1349,2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,Seed Funding,0.0,rajan anan,rajan anan from google,2017,July
1350,1350,2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,Seed Funding,0.0,blume ventures,blume ventures  rtp global,2017,July
1351,1351,2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,Seed Funding,0.0,nb ventures,sb ventures,2017,July
1352,1352,2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,Seed Funding,0.0,nspira,nspira,2017,July
1353,1353,2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,Private Equity,11.304,stellaris venture partners,stellaris venture partners  kalaari capital,2017,July
1354,1354,2017-07-25,BYJU'S,Consumer Internet,Mobile Learning App,Bangalore,Private Equity,329.7,tencent holdings,tencent holdings ltd,2017,July
1355,1355,2017-07-26,Creatorxe2x80x99s Gurukul,Others,Co-Working Space Provider,New Delhi,Seed Funding,0.0,yuvraj singh,imanpreet singh arora,2017,July
1356,1356,2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Private Equity,235.5,goldman sachs,goldman sachs group,2017,July
1357,1357,2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,Seed Funding,1.884,indian angel network,india quotient  letsventures angel fund,2017,July
1358,1358,2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,Seed Funding,1.884,an mahindra,mahindra,2017,July
1359,1359,2017-07-27,1mg,eCommerce,Online Pharmacy,Gurgaon,Private Equity,141.3,hbm healthcare investments,maverick capital ltd  hbm healthcare investments ltd,2017,July
1360,1360,2017-07-27,1mg,eCommerce,Online Pharmacy,Gurgaon,Private Equity,141.3,maverick capital ventures,maverick capital,2017,July
1361,1361,2017-07-27,1mg,eCommerce,Online Pharmacy,Gurgaon,Private Equity,141.3,sequoia capital,quona capital,2017,July
1362,1362,2017-07-27,1mg,eCommerce,Online Pharmacy,Gurgaon,Private Equity,141.3,omidyar network  kae capital,omidyar network,2017,July
1363,1363,2017-07-28,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Seed Funding,0.0,amen dhyllon,amen dhyllon,2017,July
1364,1364,2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Private Equity,11.775,info edge india ltd,info edge india ltd  temasek,2017,July
1365,1365,2017-07-28,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,Bangalore,Seed Funding,0.0,roundglass partners,roundglass partners llc,2017,July
1366,1366,2017-06-01,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,Seed Funding,0.0,grace grace techno ventures llp,chiratae ventures,2017,June
1367,1367,2017-06-01,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,Seed Funding,0.0,rajul garg,ps1 venture  globallogic cofounder rajul garg,2017,June
1368,1368,2017-06-01,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,Seed Funding,0.0,undisclosed,undisclosed,2017,June
1369,1369,2017-06-02,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,Seed Funding,2.20428,tvs motor company,bennett coleman  company ltd bccl,2017,June
1370,1370,2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Private Equity,471.0,emerging india,sc gg india mobility holdings llc,2017,June
1371,1371,2017-06-05,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,Private Equity,0.0,lockchain ecosystem global advisors,tiger global,2017,June
1372,1372,2017-06-05,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,Private Equity,0.0,horseferry,horseferry,2017,June
1373,1373,2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,Private Equity,9.42,blume ventures,blume ventures  rtp global,2017,June
1374,1374,2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,Private Equity,9.42,indian angel network,india quotient  letsventures angel fund,2017,June
1375,1375,2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,Private Equity,9.42,kunal shah,kunal shah  manish patel,2017,June
1376,1376,2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,Private Equity,9.42,seep ton,xc2xa0 seep ton,2017,June
1377,1377,2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,Seed Funding,0.0,arun patodia,arun venkatachalam,2017,June
1378,1378,2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,Seed Funding,0.0,bharat kedia,bharat kedia,2017,June
1379,1379,2017-06-06,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,Private Equity,0.0,500 startups,500 startups,2017,June
1380,1380,2017-06-06,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,Private Equity,0.0,ivycap ventures,ivycamp ventures,2017,June
1381,1381,2017-06-06,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Private Equity,11.304,blume ventures,blume ventures  rtp global,2017,June
1382,1382,2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,Seed Funding,9.42,harsh mahajan,harsh mahajan,2017,June
1383,1383,2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,Seed Funding,9.42,farhan naqvi,farhan naqvi,2017,June
1384,1384,2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,Seed Funding,9.42,sreepathy viswanathan,vishwanathan,2017,June
1385,1385,2017-06-06,GyanDhan,Consumer Internet,Education Marketplace,New Delhi,Private Equity,0.0,sundaram finance holdings,deshe holdings,2017,June
1386,1386,2017-06-06,Hungry Foal,Consumer Internet,For profit Social Venture,Gurgaon,Private Equity,0.0,sbi st up india scheme,india quotient,2017,June
1387,1387,2017-06-07,ZipLoan,Consumer Internet,Online lending platform,New Delhi,Seed Funding,6.123,waterbridge ventures,waterbridge ventures  thinkuvate,2017,June
1388,1388,2017-06-07,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,Seed Funding,5.652,sque capital,quake capital,2017,June
1389,1389,2017-06-08,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Seed Funding,2.18544,bodhtree consulting limited,makemytrip limited,2017,June
1390,1390,2017-06-08,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Private Equity,14.13,norwest venture partners,rwe,2017,June
1391,1391,2017-06-08,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Private Equity,14.13,norwest venture partners,rwe,2017,June
1392,1392,2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,Seed Funding,3.297,mohan alexer,mohan alexer,2017,June
1393,1393,2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,Seed Funding,3.297,r natarajan,krishnakumar natarajan,2017,June
1394,1394,2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,Seed Funding,3.297,vikrant varshney,vikrant varshney,2017,June
1395,1395,2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,Seed Funding,3.297,amit sinha,amit singhal,2017,June
1396,1396,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,2.826,pawan borle,pawan borle,2017,June
1397,1397,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,2.826,nirmal singh,niraj singh,2017,June
1398,1398,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,2.826,manish prasad,amrendra reddy  manish satnaliwala,2017,June
1399,1399,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,2.826,vineet varma,vineet varma,2017,June
1400,1400,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,2.826,nick haulkoury,nick haulkoury,2017,June
1401,1401,2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,Seed Funding,2.826,abhai s rao,s gopal,2017,June
1402,1402,2017-06-09,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,Seed Funding,2.355,dr ramesh ayyala,dr aniruddha malpani manish gupta,2017,June
1403,1403,2017-06-09,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,Seed Funding,2.355,satya muthyala,satya muthyala,2017,June
1404,1404,2017-06-12,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,Seed Funding,0.0,cao yibin,cao yibin,2017,June
1405,1405,2017-06-12,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,Seed Funding,0.0,huang wei,huang wei,2017,June
1406,1406,2017-06-12,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,Seed Funding,0.0,madhusudan e,madhusudan e,2017,June
1407,1407,2017-06-12,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Debt Funding,73.476,yes bank,alphabets growth investment arm capital g  axis bank,2017,June
1408,1408,2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bangalore,Private Equity,4.71,unicorn india ventures,unicorn india ventures  isme ace,2017,June
1409,1409,2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bangalore,Private Equity,4.71,venky krishnakumar,venk,2017,June
1410,1410,2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bangalore,Private Equity,4.71,suresh shankar,suresh shankar,2017,June
1411,1411,2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bangalore,Private Equity,4.71,vivek bhargava,xc2xa0 vivek bhargava,2017,June
1412,1412,2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,Private Equity,9.42,venture catalysts,venture catalyst,2017,June
1413,1413,2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,Private Equity,9.42,alfa capital,alpha capital,2017,June
1414,1414,2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,Private Equity,9.42,green shots capital,lok capital,2017,June
1415,1415,2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,Private Equity,9.42,real time ventures,breakthrough energy ventures,2017,June
1416,1416,2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Seed Funding,7.30992,artha india ventures,india ventures,2017,June
1417,1417,2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Seed Funding,7.30992,singularity holdings,sc gg india mobility holdings llc,2017,June
1418,1418,2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Seed Funding,7.30992,rajan anan,rajan anan from google,2017,June
1419,1419,2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,Seed Funding,7.30992,girish mathrubootham,girish matrubootham,2017,June
1420,1420,2017-06-12,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Private Equity,141.3,transamerica,transamerica  others,2017,June
1421,1421,2017-06-13,HyperTrack,Technology,Location tracking solutions,New Delhi,Private Equity,0.0,nexus venture partners,norwest venture partners,2017,June
